iter	Passed	Remaining
1282	14023	2371
1283	14034	2360
1284	14046	2350
1285	14057	2339
1286	14068	2328
1287	14083	2318
1288	14093	2307
1289	14105	2296
1290	14116	2285
1291	14126	2274
1292	14138	2263
1293	14148	2252
1294	14158	2241
1295	14168	2230
1296	14179	2219
1297	14188	2208
1298	14198	2197
1299	14209	2186
1300	14219	2174
1301	14229	2163
1302	14240	2152
1303	14250	2141
1304	14260	2130
1305	14270	2119
1306	14280	2108
1307	14291	2097
1308	14300	2086
1309	14312	2075
1310	14323	2064
1311	14334	2054
1312	14344	2043
1313	14355	2032
1314	14365	2021
1315	14375	2009
1316	14386	1999
1317	14398	1988
1318	14408	1977
1319	14418	1966
1320	14428	1955
1321	14438	1944
1322	14448	1933
1323	14458	1922
1324	14469	1911
1325	14481	1900
1326	14492	1889
1327	14503	1878
1328	14514	1867
1329	14524	1856
1330	14535	1845
1331	14545	1834
1332	14555	1823
1333	14565	1812
1334	14576	1801
1335	14587	1790
1336	14597	1779
1337	14607	1768
1338	14618	1757
1339	14629	1746
1340	14638	1735
1341	14648	1724
1342	14659	1713
1343	14669	1702
1344	14679	1691
1345	14690	1680
1346	14701	1669
1347	14712	1658
1348	14722	1647
1349	14733	1637
1350	14743	1626
1351	14753	1615
1352	14763	1604
1353	14773	1593
1354	14783	1582
1355	14793	1570
1356	14806	1560
1357	14819	1549
1358	14831	1538
1359	14842	1527
1360	14854	1517
1361	14863	1506
1362	14874	1495
1363	14885	1484
1364	14895	1473
1365	14906	1462
1366	14917	1451
1367	14927	1440
1368	14937	1429
1369	14947	1418
1370	14958	1407
1371	14968	1396
1372	14979	1385
1373	14989	1374
1374	14999	1363
1375	15008	1352
1376	15019	1341
1377	15030	1330
1378	15039	1319
1379	15050	1308
1380	15062	1297
1381	15073	1287
1382	15085	1276
1383	15096	1265
1384	15107	1254
1385	15117	1243
1386	15128	1232
1387	15138	1221
1388	15148	1210
1389	15158	1199
1390	15169	1188
1391	15180	1177
1392	15191	1166
1393	15200	1155
1394	15211	1144
1395	15222	1134
1396	15234	1123
1397	15245	1112
1398	15255	1101
1399	15265	1090
1400	15276	1079
1401	15286	1068
1402	15297	1057
1403	15309	1046
1404	15320	1035
1405	15330	1024
1406	15340	1014
1407	15350	1003
1408	15360	992
1409	15371	981
1410	15383	970
1411	15394	959
1412	15406	948
1413	15418	937
1414	15430	926
1415	15441	916
1416	15452	905
1417	15463	894
1418	15474	883
1419	15485	872
1420	15496	861
1421	15507	850
1422	15517	839
1423	15528	828
1424	15540	817
1425	15553	807
1426	15565	796
1427	15577	785
1428	15587	774
1429	15598	763
1430	15609	752
1431	15619	741
1432	15630	730
1433	15641	719
1434	15652	708
1435	15663	698
1436	15675	687
1437	15685	676
1438	15695	665
1439	15706	654
1440	15716	643
1441	15726	632
1442	15736	621
1443	15747	610
1444	15757	599
1445	15766	588
1446	15776	577
1447	15786	566
1448	15796	555
1449	15806	545
1450	15817	534
1451	15828	523
1452	15839	512
1453	15850	501
1454	15861	490
1455	15872	479
1456	15882	468
1457	15894	457
1458	15905	446
1459	15916	436
1460	15926	425
1461	15937	414
1462	15948	403
1463	15958	392
1464	15968	381
1465	15979	370
1466	15988	359
1467	15999	348
1468	16009	337
1469	16021	326
1470	16032	316
1471	16045	305
1472	16059	294
1473	16071	283
1474	16083	272
1475	16094	261
1476	16105	250
1477	16117	239
1478	16127	228
1479	16138	218
